run_id,branch_id,trade_id,exit_time,exit_time_msc,net_usd,equity_usd,peak_equity_usd,drawdown_usd,r_multiple,equity_r,peak_equity_r,drawdown_r
QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,5,2025.08.14 01:30:00,1755135000464,88.8,88.8,88.8,0.0,0.225,0.225,0.225,0.0
QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,20,2025.08.20 16:26:19,1755707179858,1277.3,1366.1,1366.1,0.0,3.19625,3.42125,3.42125,0.0
QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,35,2025.08.28 01:00:00,1756342800616,-73.7,1292.3999999999999,1366.1,73.70000000000005,-0.18125,3.24,3.42125,0.1812499999999999
QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,50,2025.08.28 13:31:05,1756387865456,-401.2,891.1999999999998,1366.1,474.9000000000001,-1.0,2.24,3.42125,1.18125
QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,65,2025.08.29 13:46:01,1756475161848,-401.2,489.99999999999983,1366.1,876.1000000000001,-1.0,1.2400000000000002,3.42125,2.18125
QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,80,2025.09.02 13:46:22,1756820782738,498.3,988.2999999999998,1366.1,377.80000000000007,1.24875,2.4887500000000005,3.42125,0.9324999999999997
QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,95,2025.09.05 14:18:49,1757081929778,733.3,1721.6,1721.6,0.0,1.83625,4.325,4.325,0.0
QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,110,2025.09.08 13:34:58,1757338498103,-401.2,1320.3999999999999,1721.6,401.20000000000005,-1.0,3.325,4.325,1.0
QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,125,2025.09.10 09:30:00,1757496600014,101.3,1421.6999999999998,1721.6,299.9000000000001,0.25625,3.5812500000000003,4.325,0.7437499999999999
QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,140,2025.09.12 06:00:00,1757656800174,-295.2,1126.4999999999998,1721.6,595.1000000000001,-0.735,2.8462500000000004,4.325,1.4787499999999998
QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,155,2025.09.17 02:30:07,1758076207641,484.8,1611.2999999999997,1721.6,110.30000000000018,1.215,4.06125,4.325,0.26374999999999993
QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,170,2025.09.17 18:28:12,1758133692358,149.8,1761.0999999999997,1761.0999999999997,0.0,0.3775,4.438750000000001,4.438750000000001,0.0
QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,185,2025.09.19 00:19:37,1758241177574,193.3,1954.3999999999996,1954.3999999999996,0.0,0.48625,4.925000000000001,4.925000000000001,0.0
QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,200,2025.09.21 22:00:00,1758492000059,-401.2,1553.1999999999996,1954.3999999999996,401.20000000000005,-1.0,3.9250000000000007,4.925000000000001,1.0
QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,215,2025.09.23 19:30:00,1758655800003,-79.2,1473.9999999999995,1954.3999999999996,480.4000000000001,-0.195,3.730000000000001,4.925000000000001,1.1949999999999998
QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,230,2025.09.25 14:10:51,1758809451502,457.3,1931.2999999999995,1954.3999999999996,23.100000000000136,1.14625,4.876250000000001,4.925000000000001,0.04875000000000007
QUANTORA_FIRST_TRIANGLE_FINAL15_@ENQ_1754006400,5,245,2025.09.29 16:57:40,1759165060781,101.3,2032.5999999999995,2032.5999999999995,0.0,0.25625,5.1325,5.1325,0.0
