run_id,variant_id,sl,activation,distance,cost_scenario,month,trades,net_points
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,8,52.5,57.5,25.0,SPREAD_PLUS_50,7,34,118.24999999999909
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,8,52.5,57.5,25.0,SPREAD_PLUS_50,8,19,127.79000000000042
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,8,52.5,57.5,25.0,SPREAD_PLUS_50,9,9,-87.47999999999956
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,8,52.5,57.5,25.0,SPREAD_PLUS_50,10,18,201.05999999999813
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,8,52.5,57.5,25.0,SPREAD_PLUS_50,11,13,235.4099999999985
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,8,52.5,57.5,25.0,SPREAD_PLUS_50,12,16,-206.34999999999945
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,9,52.5,57.5,25.0,SLIPPAGE_BASE,1,17,520.4800000000005
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,9,52.5,57.5,25.0,SLIPPAGE_BASE,2,14,348.70000000000164
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,9,52.5,57.5,25.0,SLIPPAGE_BASE,3,20,72.70999999999822
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,9,52.5,57.5,25.0,SLIPPAGE_BASE,4,16,112.57999999999902
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,9,52.5,57.5,25.0,SLIPPAGE_BASE,5,13,74.82999999999902
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,9,52.5,57.5,25.0,SLIPPAGE_BASE,6,15,268.5500000000002
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,9,52.5,57.5,25.0,SLIPPAGE_BASE,7,34,118.24999999999909
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,9,52.5,57.5,25.0,SLIPPAGE_BASE,8,19,127.79000000000042
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,9,52.5,57.5,25.0,SLIPPAGE_BASE,9,9,-87.47999999999956
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,9,52.5,57.5,25.0,SLIPPAGE_BASE,10,18,201.05999999999813
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,9,52.5,57.5,25.0,SLIPPAGE_BASE,11,13,235.4099999999985
