run_id,variant_id,sl,activation,distance,cost_scenario,period,trades,net_points,profit_factor,expectancy
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,4,52.5,57.5,22.5,COMMISSION_PLUS_25,H2,65,622.8099999999977,1.655941610759457,9.581692307692272
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,4,52.5,57.5,22.5,COMMISSION_PLUS_25,ALL,204,1638.7799999999952,1.5773259070588348,8.033235294117624
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,5,52.5,57.5,22.5,COMBINED_STRESS,DEVELOPMENT,88,85.20999999999822,1.0770357378560889,0.9682954545454343
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,5,52.5,57.5,22.5,COMBINED_STRESS,VALIDATION,51,930.7599999999993,2.1887556355926807,18.250196078431358
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,5,52.5,57.5,22.5,COMBINED_STRESS,LOCKED_OOS,65,622.8099999999977,1.655941610759457,9.581692307692272
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,5,52.5,57.5,22.5,COMBINED_STRESS,H1,139,1015.9699999999975,1.537812056662502,7.309136690647464
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,5,52.5,57.5,22.5,COMBINED_STRESS,H2,65,622.8099999999977,1.655941610759457,9.581692307692272
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,5,52.5,57.5,22.5,COMBINED_STRESS,ALL,204,1638.7799999999952,1.5773259070588348,8.033235294117624
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,6,52.5,57.5,25.0,BASE,DEVELOPMENT,88,219.83999999999787,1.2102283594078704,2.498181818181794
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,6,52.5,57.5,25.0,BASE,VALIDATION,51,941.8900000000003,2.2029707396196563,18.468431372549027
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,6,52.5,57.5,25.0,BASE,LOCKED_OOS,65,624.7999999999975,1.6580374727485243,9.612307692307652
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,6,52.5,57.5,25.0,BASE,H1,139,1161.7299999999982,1.6352798998189961,8.35776978417265
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,6,52.5,57.5,25.0,BASE,H2,65,624.7999999999975,1.6580374727485243,9.612307692307652
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,6,52.5,57.5,25.0,BASE,ALL,204,1786.5299999999957,1.6430576852471752,8.757499999999979
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,7,52.5,57.5,25.0,SPREAD_PLUS_25,DEVELOPMENT,88,219.83999999999787,1.2102283594078704,2.498181818181794
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,7,52.5,57.5,25.0,SPREAD_PLUS_25,VALIDATION,51,941.8900000000003,2.2029707396196563,18.468431372549027
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,7,52.5,57.5,25.0,SPREAD_PLUS_25,LOCKED_OOS,65,624.7999999999975,1.6580374727485243,9.612307692307652
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,7,52.5,57.5,25.0,SPREAD_PLUS_25,H1,139,1161.7299999999982,1.6352798998189961,8.35776978417265
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,7,52.5,57.5,25.0,SPREAD_PLUS_25,H2,65,624.7999999999975,1.6580374727485243,9.612307692307652
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,7,52.5,57.5,25.0,SPREAD_PLUS_25,ALL,204,1786.5299999999957,1.6430576852471752,8.757499999999979
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,8,52.5,57.5,25.0,SPREAD_PLUS_50,DEVELOPMENT,88,219.83999999999787,1.2102283594078704,2.498181818181794
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,8,52.5,57.5,25.0,SPREAD_PLUS_50,VALIDATION,51,941.8900000000003,2.2029707396196563,18.468431372549027
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,8,52.5,57.5,25.0,SPREAD_PLUS_50,LOCKED_OOS,65,624.7999999999975,1.6580374727485243,9.612307692307652
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,8,52.5,57.5,25.0,SPREAD_PLUS_50,H1,139,1161.7299999999982,1.6352798998189961,8.35776978417265
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,8,52.5,57.5,25.0,SPREAD_PLUS_50,H2,65,624.7999999999975,1.6580374727485243,9.612307692307652
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,8,52.5,57.5,25.0,SPREAD_PLUS_50,ALL,204,1786.5299999999957,1.6430576852471752,8.757499999999979
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,9,52.5,57.5,25.0,SLIPPAGE_BASE,DEVELOPMENT,88,219.83999999999787,1.2102283594078704,2.498181818181794
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,9,52.5,57.5,25.0,SLIPPAGE_BASE,VALIDATION,51,941.8900000000003,2.2029707396196563,18.468431372549027
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,9,52.5,57.5,25.0,SLIPPAGE_BASE,LOCKED_OOS,65,624.7999999999975,1.6580374727485243,9.612307692307652
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,9,52.5,57.5,25.0,SLIPPAGE_BASE,H1,139,1161.7299999999982,1.6352798998189961,8.35776978417265
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,9,52.5,57.5,25.0,SLIPPAGE_BASE,H2,65,624.7999999999975,1.6580374727485243,9.612307692307652
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,9,52.5,57.5,25.0,SLIPPAGE_BASE,ALL,204,1786.5299999999957,1.6430576852471752,8.757499999999979
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,10,52.5,57.5,25.0,COMMISSION_PLUS_25,DEVELOPMENT,88,219.83999999999787,1.2102283594078704,2.498181818181794
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,10,52.5,57.5,25.0,COMMISSION_PLUS_25,VALIDATION,51,941.8900000000003,2.2029707396196563,18.468431372549027
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,10,52.5,57.5,25.0,COMMISSION_PLUS_25,LOCKED_OOS,65,624.7999999999975,1.6580374727485243,9.612307692307652
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,10,52.5,57.5,25.0,COMMISSION_PLUS_25,H1,139,1161.7299999999982,1.6352798998189961,8.35776978417265
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,10,52.5,57.5,25.0,COMMISSION_PLUS_25,H2,65,624.7999999999975,1.6580374727485243,9.612307692307652
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,10,52.5,57.5,25.0,COMMISSION_PLUS_25,ALL,204,1786.5299999999957,1.6430576852471752,8.757499999999979
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,11,52.5,57.5,25.0,COMBINED_STRESS,DEVELOPMENT,88,219.83999999999787,1.2102283594078704,2.498181818181794
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,11,52.5,57.5,25.0,COMBINED_STRESS,VALIDATION,51,941.8900000000003,2.2029707396196563,18.468431372549027
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,11,52.5,57.5,25.0,COMBINED_STRESS,LOCKED_OOS,65,624.7999999999975,1.6580374727485243,9.612307692307652
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,11,52.5,57.5,25.0,COMBINED_STRESS,H1,139,1161.7299999999982,1.6352798998189961,8.35776978417265
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,11,52.5,57.5,25.0,COMBINED_STRESS,H2,65,624.7999999999975,1.6580374727485243,9.612307692307652
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,11,52.5,57.5,25.0,COMBINED_STRESS,ALL,204,1786.5299999999957,1.6430576852471752,8.757499999999979
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,12,52.5,57.5,27.5,BASE,DEVELOPMENT,88,180.58999999999787,1.1726944115059463,2.0521590909090666
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,12,52.5,57.5,27.5,BASE,VALIDATION,51,874.3900000000003,2.1167605399951492,17.14490196078432
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,12,52.5,57.5,27.5,BASE,LOCKED_OOS,65,636.6999999999975,1.6705705168037541,9.795384615384577
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,12,52.5,57.5,27.5,BASE,H1,139,1054.9799999999982,1.5769047788307478,7.589784172661857
