event_id,run_id,time,time_msc,event_type,direction,bid,ask,k,d,adaptive_tf,k_len,buy_armed,sell_armed,buy_locked,sell_locked,pending_dir,pending_start,active_dir,trade_id,detail
1,STOCHEXTREME_ORO_XAUUSD_1789128901,2026.09.11 13:15:00,1789132500840,RUN_STARTED,NONE,4346.48,4346.64,29.91603202,36.95116115,30,5,true,false,false,true,0,1970.01.01 00:00:00,0,0,v2.27 INDEPENDENT_ENTRY_ROBUST_EXIT INTRABAR_ARM_FIX DYNAMIC_VOLUME INDEPENDENT_OVERLAP SL=30.0 dynamic_vol=0.04 MFE_giveback=200/150|400/200|700/250
2,STOCHEXTREME_ORO_XAUUSD_1789128901,2026.09.11 13:15:01,1789132501243,CLOSED_M30_SNAPSHOT,NONE,4346.57,4346.73,29.91603202,36.95116115,30,5,true,false,false,true,0,1970.01.01 00:00:00,0,0,k=29.91603202 d=36.95116115
3,STOCHEXTREME_ORO_XAUUSD_1789128901,2026.09.11 13:15:11,1789132511899,RUN_FINISHED,NONE,4347.23,4347.41,31.95546655,37.63097266,22,4,true,false,false,true,0,1970.01.01 00:00:00,0,0,none
